"cst","csts","des","al","kt","nik"
"00100002","0001",FREDY,"","",""
"00100002","0002",RENDY,"","",""
KT088,M0638,SMB,"",TULUNGAGUNG,""
KT088,M0557,NYOTO,"","",""
KT088,M0560,MASTUR,"","",""
"01A81 ",M0182 ,"555 BARU                      ",JL. SULTAN AGUNG 74                                         ,NGAWI          ,""
"01A81 ",R0141 ,"38                            ",                                                            ,MENADO         ,""
"01A81 ",X0094 ,"555                           ",                                                            ,RUTENG         ,""
"01A81 ",U0059 ,"58                            ",JL. MASJID RAYA 88 C                                        ,MAKASSAR       ,""
"01A81 ",R0155 ,A THAY                        ,                                                            ,MENADO         ,""
"01A81 ",W0150 ,A. RAHMAN                     ,                                                            ,BIMA           ,""
"01A81 ",M0853 ,AA                            ,JL. SIDODADI                                                ,SURABAYA       ,""
"01A81 ",W0104 ,AA                            ,                                                            ,CAKRA          ,""
"01A81 ",V0080 ,ABADI                         ,JL. BEDAHULU II/17                                          ,DENPASAR       ,""
"01A81 ",X0280 ,ABAS                          ,                                                            ,WAINGAPU       ,""
"01A81 ",X0219 ,ABC                           ,                                                            ,RUTENG         ,""
"01A81 ",M0078 ,ADA                           ,JL. RAYA 73                                                 ,KRAKSAAN       ,""
"01A81 ",W0083 ,ADI                           ,PERTOKOAN MANDALIKA BLOK C/21                               ,CAKRA          ,""
"01A81 ",R0172 ,AF                            ,                                                            ,MENADO         ,""
"01A81 ",Y0108 ,AFUK                          ,JL. RIJALI 22-23                                            ,AMBON          ,""
"01A81 ",M0018 ,AGOGO                         ,JL.ANJASMORO 11 A                                           ,PASURUAN       ,""
"01A81 ",X0107 ,AGUNG                         ,                                                            ,REO            ,""
"01A81 ",X0179 ,AGUNG                         ,JL. MOTANGRUA 10                                            ,RUTENG         ,""
"01A81 ",M0109 ,AGUNG PERKASA                 ,                                                            ,PASAR TURI     ,""
"01A81 ",M1453 ,AHMAD AWI                     ,                                                            ,SURABAYA       ,""
"01A81 ",P0065 ,AJ                            ,                                                            ,BANJARMASIN    ,""
"01A81 ",G0008 ,AKANG                         ,JL. R.POTONG HEWAN 3                                        ,MEDAN          ,""
"01A81 ",W0013 ,AKASNA                        ,KOMPLEK TERMINAL MANDALIKA                                  ,CAKRA          ,""
"01A81 ",M0005 ,AKUAN                         ,DALAM PS.LT.I BLOK M 177-179                                ,KRIAN          ,""
"01A81 ",V0115 ,ALASKA/ATLANTIC               ,                                                            ,SINGARAJA      ,""
"01A81 ",T0083 ,ALBAR                         ,                                                            ,BANGGAI        ,""
"01A81 ",U0141 ,ALFATIR                       ,                                                            ,MAKASSAR       ,""
"01A81 ",M0777 ,ALFIDA                        ,                                                            ,LUMAJANG       ,""
"01A81 ",W0137 ,ALUN JATAH                    ,PASAR BARU AM 3                                             ,TOBELO         ,""
"01A81 ",W0164 ,AM                            ,                                                            ,BIMA           ,""
"01A81 ",M0033 ,AMERTA                        ,JL. BRIGJEN KATAMSO 19                                      ,PROBOLINGGO    ,""
"01A81 ",P0014 ,AMG (KARYA MUDA)              ,JL. PASAR BARU 86                                           ,BANJARMASIN    ,""
