th,itm,des,jns,t,l,p,stn,brt,gol,isi,stn2,gol2,codesup,hgb,hgj2,isi2,gd,jual,konsi,ket
,TBAK50D01008,BAKI DEC            50 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,608300,0,1,,2,0,
,GBAK35D01008,BAKI DEC GUNTING    35 CM,,0,0,0,DOS,0,007,2,DZ,GUNTING,,225500,0,2,,3,0,
,GBAK40D01008,BAKI DEC GUNTING    40 CM,,0,0,0,DOS,0,007,2,DZ,GUNTING,,293700,0,2,,1,0,
,GBAK45D01008,BAKI DEC GUNTING    45 CM,,0,0,0,DOS,0,007,2,DZ,GUNTING,,376200,0,2,,0,0,
,GBAK50D01008,BAKI DEC GUNTING    50 CM,,0,0,0,DOS,0,007,2,DZ,GUNTING,,457600,0,2,,0,0,
,YBAK30D02008,BAKI DEC TOMCAT     30 CM,,0,0,0,DOS,0,007,2,DZ,TOMCAT,,121000,0,2,,0,0,
,YBAK35D02008,BAKI DEC TOMCAT     35 CM,,0,0,0,DOS,0,007,2,DZ,TOMCAT,,159500,0,2,,0,0,
,YBAK40D02008,BAKI DEC TOMCAT     40 CM,,0,0,0,DOS,0,007,2,DZ,TOMCAT,,206800,0,2,,0,0,
,YBAK45D02008,BAKI DEC TOMCAT     45 CM,,0,0,0,DOS,0,007,2,DZ,TOMCAT,,255200,0,2,,0,0,
,YBAK50D02008,BAKI DEC TOMCAT     50 CM,,0,0,0,DOS,0,007,2,DZ,TOMCAT,,338800,0,2,,0,0,
,IJAM16S06009,JAMAICA SET         16/20 CM,,0,0,0,DOS,0,007,4,SET,IDEAL,,181500,0,4,,0,0,
,IJAE16S06009,JAMAICA SET EK.     16/20 CM,,0,0,0,DOS,0,007,4,SET,IDEAL,,160600,0,4,,0,0,
,IMUG12D02009,MUG MESIN IDEAL     12 CM,,0,0,0,DOS,0,007,1,DZ,IDEAL,,432300,0,1,,0,0,
,TMME09D02004,MUG MESIN WM        9 CM,,0,0,0,DOS,0,007,4,DZ,TIMBANGAN,,187000,0,4,,0,0,
,TMME10D02004,MUG MESIN WM        10 CM,,0,0,0,DOS,0,007,4,DZ,TIMBANGAN,,218900,0,4,,0,0,
,IORT30D02009,ORIENTAL SET        30 CM,,0,0,0,DOS,0,007,2,SET,IDEAL,,157300,0,2,,0,0,
,IORT34D02009,ORIENTAL SET        34 CM,,0,0,0,DOS,0,007,2,SET,IDEAL,,182600,0,2,,0,0,
,IORT40D02009,ORIENTAL SET        40 CM,,0,0,0,DOS,0,007,2,SET,IDEAL,,257400,0,2,,0,0,
,IORT50D02009,ORIENTAL SET        50 CM,,0,0,0,DOS,0,007,1,SET,IDEAL,,397100,0,1,,0,0,
,TPGN16S10008,PANCI GANTUNG DEC   16/24 CM,,0,0,0,DOS,0,007,4,SET,TIMBANGAN,,338800,0,4,,0,0,
,TPGS16S10008,PANCI GASPAN DEC    16/24 CM,,0,0,0,DOS,0,007,2,SET,TIMBANGAN,,275000,0,2,,0,0,
,TPGS26S06008,PANCI GASPAN DEC    26/30 CM,,0,0,0,DOS,0,007,1,SET,TIMBANGAN,,348700,0,1,,0,0,
,TPGS26S06007,PANCI GASPAN HM     26/30 CM,,0,0,0,DOS,0,007,1,SET,TIMBANGAN,,323400,0,1,,0,0,
,TPMA26D02008,PANCI MASAK DEC     26 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1025200,0,0.5,,0,0,
,TPMA28D02008,PANCI MASAK DEC     28 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1149500,0,0.5,,0,0,
,TPMA30D02008,PANCI MASAK DEC     30 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1306800,0,0.5,,0,0,
,TPMA34D02008,PANCI MASAK DEC     34 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1736900,0,0.5,,0,0,
,TPMA40D02008,PANCI MASAK DEC     40 CM,,0,0,0,DOS,0,007,0,DZ,TIMBANGAN,,2627900,0,0.25,,0,0,
,TPMA26D02007,PANCI MASAK HM      26 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,940500,0,0.5,,0,0,
,TPMA28D02007,PANCI MASAK HM      28 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1084600,0,0.5,,0,0,
,TPMA30D02007,PANCI MASAK HM      30 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1244100,0,0.5,,0,0,
,TPMA34D02007,PANCI MASAK HM      34 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1584000,0,0.5,,0,0,
,TPMA36D02007,PANCI MASAK HM      36 CM,,0,0,0,DOS,0,007,1,DZ,TIMBANGAN,,1855700,0,0.5,,0,0,
,TPMA40D02007,PANCI MASAK HM      40 CM,,0,0,0,DOS,0,007,0,DZ,TIMBANGAN,,2390300,0,0.25,,0,0,
,TPMA45D02007,PANCI MASAK HM      45 CM,,0,0,0,DOS,0,007,0,DZ,TIMBANGAN,,3337400,0,0.25,,0,0,
,GPMA40D02007,PANCI MASAK HM GT.  40 CM,,0,0,0,DOS,0,007,0,DZ,GUNTING,,2223100,0,0.25,,0,0,
,TPTS22D03007,PANCI TIM S/2 HM    22 CM,,0,0,0,DOS,0,007,6,SET,TIMBANGAN,,1,0,6,,0,0,
,TPNA26D01001,PIRING NASI ASS     26 CM,,0,0,0,DOS,0,007,6,DZ,TIMBANGAN,,204600,0,6,,0,0,
,TPNA28D01001,PIRING NASI ASS     28 CM,,0,0,0,DOS,0,007,6,DZ,TIMBANGAN,,239800,0,0,,0,0,
,IRCB22D02009,RICE BOWL           22 CM,,0,0,0,DOS,0,007,1,DZ,IDEAL,,922900,0,1,,0,0,
,IRCB24D02009,RICE BOWL           24 CM,,0,0,0,DOS,0,007,1,DZ,IDEAL,,1042800,0,1,,0,0,
